% ------------------------------ %
% --------   ELECTRONS  -------- %
% ------------------------------ %

  HistoNameSufUp: _weight_trkbtag_B_EV_Up_4
  HistoNameSufDown: _weight_trkbtag_B_EV_Down_4
  Symmetrisation: TwoSided
  Exclude: QCD

Systematic: "FT_EFF_Eigen_B_5"
  Title: "b-tag (B) EV5"
  Type: HISTO
  Category: "b-tagging uncertainties"
  HistoNameSufUp: _weight_trkbtag_B_EV_Up_5
  HistoNameSufDown: _weight_trkbtag_B_EV_Down_5
  Symmetrisation: TwoSided
  Exclude: QCD

Systematic: "FT_EFF_Eigen_B_6"
  Title: "b-tag (B) EV6"
  Type: HISTO
  Category: "b-tagging uncertainties"
  HistoNameSufUp: _weight_trkbtag_B_EV_Up_6
  HistoNameSufDown: _weight_trkbtag_B_EV_Down_6
  Symmetrisation: TwoSided
  Exclude: QCD

Systematic: "FT_EFF_Eigen_B_7"
  Title: "b-tag (B) EV7"
  Type: HISTO
  Category: "b-tagging uncertainties"
  HistoNameSufUp: _weight_trkbtag_B_EV_Up_7
  HistoNameSufDown: _weight_trkbtag_B_EV_Down_7
  Symmetrisation: TwoSided
  Exclude: QCD

Systematic: "FT_EFF_Eigen_B_8"
  Title: "b-tag (B) EV8"
  Type: HISTO
  Category: "b-tagging uncertainties"
  HistoNameSufUp: _weight_trkbtag_B_EV_Up_8
  HistoNameSufDown: _weight_trkbtag_B_EV_Down_8
  Symmetrisation: TwoSided
  Exclude: QCD

% ---------------------------------- %
% --------   C MIS-TAGGING  -------- %
% ---------------------------------- %

Systematic: "FT_EFF_Eigen_C_0"
  Title: "b-tag (C) EV0"
  Type: HISTO
  Category: "b-tagging uncertainties"
  HistoNameSufUp: _weight_trkbtag_C_EV_Up_0
  HistoNameSufDown: _weight_trkbtag_C_EV_Down_0
  Symmetrisation: TwoSided
  Exclude: QCD

Systematic: "FT_EFF_Eigen_C_1"
  Title: "b-tag (C) EV1"
  Type: HISTO
  Category: "b-tagging uncertainties"
  HistoNameSufUp: _weight_trkbtag_C_EV_Up_1
  HistoNameSufDown: _weight_trkbtag_C_EV_Down_1
  Symmetrisation: TwoSided
  Exclude: QCD

Systematic: "FT_EFF_Eigen_C_2"
  Title: "b-tag (C) EV2"
  Type: HISTO
  Category: "b-tagging uncertainties"
  HistoNameSufUp: _weight_trkbtag_C_EV_Up_2
  HistoNameSufDown: _weight_trkbtag_C_EV_Down_2
  Symmetrisation: TwoSided
  Exclude: QCD

Systematic: "FT_EFF_Eigen_C_3"
  Title: "b-tag (C) EV3"
  Type: HISTO
  Category: "b-tagging uncertainties"
  HistoNameSufUp: _weight_trkbtag_C_EV_Up_3
  HistoNameSufDown: _weight_trkbtag_C_EV_Down_3
  Symmetrisation: TwoSided
  Exclude: QCD

Systematic: "FT_EFF_Eigen_C_4"
  Title: "b-tag (C) EV4"
  Type: HISTO
  Category: "b-tagging uncertainties"
  HistoNameSufUp: _weight_trkbtag_C_EV_Up_4
  HistoNameSufDown: _weight_trkbtag_C_EV_Down_4
  Symmetrisation: TwoSided
  Exclude: QCD

% ---------------------------------- %
% --------   L MIS-TAGGING  -------- %
% ---------------------------------- %

Systematic: "FT_EFF_Eigen_Light_0"
  Title: "b-tag (L) EV0"
  Type: HISTO
  Category: "b-tagging uncertainties"
  HistoNameSufUp: _weight_trkbtag_Light_EV_Up_0
  HistoNameSufDown: _weight_trkbtag_Light_EV_Down_0
  Symmetrisation: TwoSided
  Exclude: QCD

Systematic: "FT_EFF_Eigen_Light_1"
  Title: "b-tag (L) EV1"
  Type: HISTO
  Category: "b-tagging uncertainties"
  HistoNameSufUp: _weight_trkbtag_Light_EV_Up_1
  HistoNameSufDown: _weight_trkbtag_Light_EV_Down_1
  Symmetrisation: TwoSided
  Exclude: QCD

Systematic: "FT_EFF_Eigen_Light_2"
  Title: "b-tag (L) EV2"
  Type: HISTO
  Category: "b-tagging uncertainties"
  HistoNameSufUp: _weight_trkbtag_Light_EV_Up_2
  HistoNameSufDown: _weight_trkbtag_Light_EV_Down_2
  Symmetrisation: TwoSided
  Exclude: QCD

Systematic: "FT_EFF_Eigen_Light_3"
  Title: "b-tag (L) EV3"
  Type: HISTO
  Category: "b-tagging uncertainties"
  HistoNameSufUp: _weight_trkbtag_Light_EV_Up_3
  HistoNameSufDown: _weight_trkbtag_Light_EV_Down_3
  Symmetrisation: TwoSided
  Exclude: QCD

Systematic: "FT_EFF_Eigen_Light_4"
  Title: "b-tag (L) EV4"
  Type: HISTO
  Category: "b-tagging uncertainties"
  HistoNameSufUp: _weight_trkbtag_Light_EV_Up_4
  HistoNameSufDown: _weight_trkbtag_Light_EV_Down_4
  Symmetrisation: TwoSided
  Exclude: QCD

Systematic: "FT_EFF_Eigen_Light_5"
  Title: "b-tag (L) EV5"
  Type: HISTO
  Category: "b-tagging uncertainties"
  HistoNameSufUp: _weight_trkbtag_Light_EV_Up_5
  HistoNameSufDown: _weight_trkbtag_Light_EV_Down_5
  Symmetrisation: TwoSided
  Exclude: QCD

Systematic: "FT_EFF_extrapolation"
  Title: "b-tag extrap."
  Type: HISTO
  Category: "b-tagging uncertainties"
  HistoNameSufUp: _weight_trkbtag_extrapolation_Up
  HistoNameSufDown: _weight_trkbtag_extrapolation_Down
  Symmetrisation: TwoSided
  Exclude: QCD

Systematic: "FT_EFF_extrapolation_from_charm"
  Title: "b-tag extrap. from charm"
  Type: HISTO
  Category: "b-tagging uncertainties"
  HistoNameSufUp: _weight_trkbtag_extrapolation_from_charm_Up
  HistoNameSufDown: _weight_trkbtag_extrapolation_from_charm_Down
  Symmetrisation: TwoSided
  Exclude: QCD

% ------------------------ %
% --------   JVT  -------- %
% ------------------------ %

Systematic: "JET_JvtEfficiency"
  Title: "JVT uncertainty"
  Type: HISTO
  Category: "Jet uncertainties"
  HistoNameSufUp: _weight_jvt_UP
  HistoNameSufDown: _weight_jvt_DOWN
  Symmetrisation: TwoSided
  Exclude: QCD

Systematic: "JET_FJvtEfficiency"
  Title: "FJVT uncertainty"
  Type: HISTO
  Category: "Jet uncertainties"
  HistoPathUp: "__HISTOPATH__/FJVTSF/"
  HistoPathDown: "__HISTOPATH__/FJVTSF/"
  HistoPathUpRefSample: "__HISTOPATH__/FJVTSF/"
  HistoPathDownRefSample: "__HISTOPATH__/FJVTSF/"
  HistoNameSufUp: _weight_fJvt_UP
  HistoNameSufDown: _weight_fJvt_DOWN
  Symmetrisation: TwoSided
  Exclude: QCD,ttH,rareBkg

